Date,Time,Float,Temp,Pressure
14-03-23,09-06-36,140323.090636
14-03-23,09-06-39,140323.090639
14-03-23,09-06-42,140323.090642
14-03-23,09-06-45,140323.090645
14-03-23,09-06-48,140323.090648
14-03-23,09-06-51,140323.090651
14-03-23,09-06-54,140323.090654
14-03-23,09-06-57,140323.090657
14-03-23,09-07-00,140323.090700
14-03-23,09-07-03,140323.090703
14-03-23,09-07-06,140323.090706
14-03-23,09-07-09,140323.090709
14-03-23,09-07-12,140323.090712
14-03-23,09-07-15,140323.090715
14-03-23,09-07-18,140323.090718
14-03-23,09-07-21,140323.090721
